surah_no,ayah_no_surah,surah_name_ar,ayah_ar,label,ayah_en
114,5,سورة الناس,ٱلَّذِي يُوَسۡوِسُ فِي صُدُورِ ٱلنَّاسِ,anger,who whispers into the hearts of humankind
114,4,سورة الناس,مِن شَرِّ ٱلۡوَسۡوَاسِ ٱلۡخَنَّاسِ,sadness,from the evil of the lurking whisperer
111,1,سورة المسد,تَبَّتۡ يَدَآ أَبِي لَهَبٖ وَتَبَّ,anger,may the hands of abu lahab perish and he himself perish
111,3,سورة المسد,سَيَصۡلَىٰ نَارٗا ذَاتَ لَهَبٖ,anger,he will burn in a flaming fire
111,4,سورة المسد,وَٱمۡرَأَتُهُۥ حَمَّالَةَ ٱلۡحَطَبِ,anger,and so will his wife the carrier of thorny kindling
111,5,سورة المسد,فِي جِيدِهَا حَبۡلٞ مِّن مَّسَدِۭ,anger,around her neck will be a rope of palmfibre
111,2,سورة المسد,مَآ أَغۡنَىٰ عَنۡهُ مَالُهُۥ وَمَا كَسَبَ,sadness,neither his wealth nor worldly gains will benefit him
109,6,سورة الكافرون,لَكُمۡ دِينُكُمۡ وَلِيَ دِينِ,anger,you have your way and i have my way
108,2,سورة الكوثر,فَصَلِّ لِرَبِّكَ وَٱنۡحَرۡ,joy,so pray and sacrifice to your lord alone
107,1,سورة الماعون,أَرَءَيۡتَ ٱلَّذِي يُكَذِّبُ بِٱلدِّينِ,anger,have you seen the one who denies the final judgment
107,5,سورة الماعون,ٱلَّذِينَ هُمۡ عَن صَلَاتِهِمۡ سَاهُونَ,anger,yet are unmindful of their prayers
107,6,سورة الماعون,ٱلَّذِينَ هُمۡ يُرَآءُونَ,anger,those who only show off
106,3,سورة قريش,فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ,joy,let them worship the lord of this sacred house
105,2,سورة الفيل,أَلَمۡ يَجۡعَلۡ كَيۡدَهُمۡ فِي تَضۡلِيلٖ,anger,did he not frustrate their scheme
105,3,سورة الفيل,وَأَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا أَبَابِيلَ,fear,for he sent against them flocks of birds
105,5,سورة الفيل,فَجَعَلَهُمۡ كَعَصۡفٖ مَّأۡكُولِۭ,sadness,leaving them like chewed up straw
104,4,سورة الهمزة,كَلَّاۖ لَيُنۢبَذَنَّ فِي ٱلۡحُطَمَةِ,anger,not at all such a person will certainly be tossed into the crusher
104,1,سورة الهمزة,وَيۡلٞ لِّكُلِّ هُمَزَةٖ لُّمَزَةٍ,fear,woe to every backbiter slanderer
102,2,سورة التكاثر,حَتَّىٰ زُرۡتُمُ ٱلۡمَقَابِرَ,fear,until you end up in your graves
102,8,سورة التكاثر,ثُمَّ لَتُسۡـَٔلُنَّ يَوۡمَئِذٍ عَنِ ٱلنَّعِيمِ,fear,then on that day you will definitely be questioned about your worldly pleasures
102,5,سورة التكاثر,كَلَّا لَوۡ تَعۡلَمُونَ عِلۡمَ ٱلۡيَقِينِ,sadness,indeed if you were to know your fate with certainty you would have acted differently
101,4,سورة القارعة,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,fear,it is the day people will be like scattered moths
101,11,سورة القارعة,نَارٌ حَامِيَةُۢ,fear,it is a scorching fire
101,9,سورة القارعة,فَأُمُّهُۥ هَاوِيَةٞ,sadness,their home will be the abyss
100,11,سورة العاديات,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,fear,surely their lord is allaware of them on that day
100,6,سورة العاديات,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,sadness,surely humankind is ungrateful to their lord
99,1,سورة الزلزلة,إِذَا زُلۡزِلَتِ ٱلۡأَرۡضُ زِلۡزَالَهَا,fear,when the earth is shaken in its ultimate quaking
99,2,سورة الزلزلة,وَأَخۡرَجَتِ ٱلۡأَرۡضُ أَثۡقَالَهَا,fear,and when the earth throws out all its contents
99,3,سورة الزلزلة,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,fear,and humanity cries what is wrong with it
99,3,سورة الزلزلة,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,fear,and humanity cries what is wrong with it
99,6,سورة الزلزلة,يَوۡمَئِذٖ يَصۡدُرُ ٱلنَّاسُ أَشۡتَاتٗا لِّيُرَوۡاْ أَعۡمَٰلَهُمۡ,fear,on that day people will proceed in separate groups to be shown the consequences of their deeds
99,8,سورة الزلزلة,وَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٖ شَرّٗا يَرَهُۥ,fear,and whoever does an atoms weight of evil will see it
99,7,سورة الزلزلة,فَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٍ خَيۡرٗا يَرَهُۥ,joy,so whoever does an atoms weight of good will see it
98,3,سورة البينة,فِيهَا كُتُبٞ قَيِّمَةٞ,joy,containing upright commandments
98,7,سورة البينة,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أُوْلَٰٓئِكَ هُمۡ خَيۡرُ ٱلۡبَرِيَّةِ,joy,indeed those who believe and do goodthey are the best of all beings
96,2,سورة العلق,خَلَقَ ٱلۡإِنسَٰنَ مِنۡ عَلَقٍ,fear,created humans from a clinging clot
96,8,سورة العلق,إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجۡعَىٰٓ,fear,but surely to your lord is the return of all
96,14,سورة العلق,أَلَمۡ يَعۡلَم بِأَنَّ ٱللَّهَ يَرَىٰ,fear,does he not know that allah sees all
96,15,سورة العلق,كَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,fear,but no if he does not desist we will certainly drag him by the forelock
96,3,سورة العلق,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,joy,read and your lord is the most generous
96,6,سورة العلق,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,sadness,most certainly one exceeds all bounds
96,16,سورة العلق,نَاصِيَةٖ كَٰذِبَةٍ خَاطِئَةٖ,sadness,a lying sinful forelock
96,17,سورة العلق,فَلۡيَدۡعُ نَادِيَهُۥ,sadness,so let him call his associates
95,7,سورة التين,فَمَا يُكَذِّبُكَ بَعۡدُ بِٱلدِّينِ,anger,now what makes you deny the final judgment
95,4,سورة التين,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِيٓ أَحۡسَنِ تَقۡوِيمٖ,joy,indeed we created humans in the best form
94,1,سورة الشرح,أَلَمۡ نَشۡرَحۡ لَكَ صَدۡرَكَ,joy,have we not uplifted your heart for you o prophet
94,4,سورة الشرح,وَرَفَعۡنَا لَكَ ذِكۡرَكَ,joy,and elevated your renown for you
94,6,سورة الشرح,إِنَّ مَعَ ٱلۡعُسۡرِ يُسۡرٗا,joy,surely with that hardship comes more ease
94,7,سورة الشرح,فَإِذَا فَرَغۡتَ فَٱنصَبۡ,joy,so once you have fulfilled your duty strive in devotion
93,3,سورة الضحىٰ,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,joy,your lord o prophet has not abandoned you nor has he become hateful of you
93,4,سورة الضحىٰ,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,joy,and the next life is certainly far better for you than this one
93,7,سورة الضحىٰ,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,sadness,did he not find you unguided then guided you
93,9,سورة الضحىٰ,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,sadness,so do not oppress the orphan
92,15,سورة الليل,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,anger,in which none will burn except the most wretched
92,10,سورة الليل,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ,fear,we will facilitate for them the path of hardship
92,11,سورة الليل,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,fear,and their wealth will be of no benefit to them when they tumble into hell
92,14,سورة الليل,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,fear,and so i have warned you of a raging fire
92,5,سورة الليل,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ,joy,as for the one who is charitable mindful of allah
92,7,سورة الليل,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,joy,we will facilitate for them the way of ease
92,12,سورة الليل,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ,joy,it is certainly upon us alone to show the way to guidance
92,13,سورة الليل,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ,joy,and surely to us alone belong this life and the next
92,17,سورة الليل,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى,joy,but the righteous will be spared from it
92,20,سورة الليل,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ,joy,but seeking the pleasure of their lord the most high
92,21,سورة الليل,وَلَسَوۡفَ يَرۡضَىٰ,joy,they will certainly be pleased
91,10,سورة الشمس,وَقَدۡ خَابَ مَن دَسَّىٰهَا,anger,and doomed is the one who corrupts it
91,12,سورة الشمس,إِذِ ٱنۢبَعَثَ أَشۡقَىٰهَا,anger,when the most wicked of them was roused to kill the shecamel
91,14,سورة الشمس,فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمۡدَمَ عَلَيۡهِمۡ رَبُّهُم بِذَنۢبِهِمۡ فَسَوَّىٰهَا,anger,still they defied him and slaughtered her so their lord crushed them for their crime levelling all to the ground
91,7,سورة الشمس,وَنَفۡسٖ وَمَا سَوَّىٰهَا,fear,and by the soul and the one who fashioned it
91,8,سورة الشمس,فَأَلۡهَمَهَا فُجُورَهَا وَتَقۡوَىٰهَا,fear,then with the knowledge of right and wrong inspired it
91,9,سورة الشمس,قَدۡ أَفۡلَحَ مَن زَكَّىٰهَا,joy,successful indeed is the one who purifies their soul
91,13,سورة الشمس,فَقَالَ لَهُمۡ رَسُولُ ٱللَّهِ نَاقَةَ ٱللَّهِ وَسُقۡيَٰهَا,sadness,but the messenger of allah warned them do not disturb allahs camel and her turn to drink
90,5,سورة البلد,أَيَحۡسَبُ أَن لَّن يَقۡدِرَ عَلَيۡهِ أَحَدٞ,fear,do they think that no one has power over them
90,7,سورة البلد,أَيَحۡسَبُ أَن لَّمۡ يَرَهُۥٓ أَحَدٌ,fear,do they think that no one sees them
90,10,سورة البلد,وَهَدَيۡنَٰهُ ٱلنَّجۡدَيۡنِ,fear,and shown them the two ways of right and wrong
90,19,سورة البلد,وَٱلَّذِينَ كَفَرُواْ بِـَٔايَٰتِنَا هُمۡ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,fear,as for those who deny our signs they are the people of the left
90,20,سورة البلد,عَلَيۡهِمۡ نَارٞ مُّؤۡصَدَةُۢ,fear,the fire will be sealed over them
89,6,سورة الفجر,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِعَادٍ,anger,did you not see how your lord dealt with ad
89,11,سورة الفجر,ٱلَّذِينَ طَغَوۡاْ فِي ٱلۡبِلَٰدِ,anger,they all transgressed throughout the land
89,14,سورة الفجر,إِنَّ رَبَّكَ لَبِٱلۡمِرۡصَادِ,anger,for your lord is truly vigilant
89,13,سورة الفجر,فَصَبَّ عَلَيۡهِمۡ رَبُّكَ سَوۡطَ عَذَابٍ,fear,so your lord unleashed on them a scourge of punishment
89,21,سورة الفجر,كَلَّآۖ إِذَا دُكَّتِ ٱلۡأَرۡضُ دَكّٗا دَكّٗا,fear,enough when the earth is entirely crushed over and over
89,22,سورة الفجر,وَجَآءَ رَبُّكَ وَٱلۡمَلَكُ صَفّٗا صَفّٗا,fear,and your lord comes to judge with angels rank upon rank
89,23,سورة الفجر,وَجِاْيٓءَ يَوۡمَئِذِۭ بِجَهَنَّمَۚ يَوۡمَئِذٖ يَتَذَكَّرُ ٱلۡإِنسَٰنُ وَأَنَّىٰ لَهُ ٱلذِّكۡرَىٰ,fear,and hell is brought forth on that daythis is when every disbelieving person will remember their own sins but what is the use of remembering then
89,25,سورة الفجر,فَيَوۡمَئِذٖ لَّا يُعَذِّبُ عَذَابَهُۥٓ أَحَدٞ,fear,on that day he will punish them severely like no other
